name,chunk,entry_addr,size_bytes,size_source,n_calls_in,n_calls_out,far_calls,int_count,port_io,mem_writes,loops,has_placeholder_name,category,skip_reason,covered_by_oracle,evidence_tier,evidence_scope,browser_smoke,evidence_source,gap_ticket
run_game_main,game,0x0000,933,lst,0,2,14,0,0,3,0,False,D,driver_or_dos,yes,direct-procedure-oracle,procedure,yes,3_Assembly/masm/functest/INDEX.md,
load_music_tracks,game,0x03A5,46,lst,1,0,1,0,0,0,1,False,A,trivial_regression,no,release-byte-procedure-oracle,procedure/register-memory-service-order,yes,3_Assembly/masm/functest/proc_equivalence/test_game_load_music_tracks.py,
set_vga_palette,game,0x03E5,13,lst,1,0,0,0,0,0,0,False,A,trivial_regression,no,release-byte-procedure-oracle,procedure/register-memory-dac,yes,3_Assembly/masm/functest/proc_equivalence/test_game_set_vga_palette.py,
run_zeliad_main,zeliad,0x0000,901,lst,0,20,0,39,0,27,2,False,D,driver_or_dos,no,release-byte-procedure-oracle,procedure/register-memory-service-order,yes,3_Assembly/masm/functest/proc_equivalence/test_zeliad_load_order.py,
flush_keyboard,zeliad,0x0385,11,lst,2,0,0,1,0,0,0,False,D,driver_or_dos,no,release-byte-procedure-oracle,procedure/register-memory-service-order,yes,3_Assembly/masm/functest/proc_equivalence/test_zeliad_load_order.py,
read_config_line,zeliad,0x0390,60,lst,4,0,0,2,0,0,0,False,D,driver_or_dos,no,release-byte-procedure-oracle,procedure/register-memory-flags,yes,3_Assembly/masm/functest/proc_equivalence/test_zeliad_config_parsers.py,
parse_graphics_mode,zeliad,0x03CC,93,lst,1,0,0,0,0,0,4,False,C,mid_complex,no,release-byte-procedure-oracle,procedure/register-memory-flags,yes,3_Assembly/masm/functest/proc_equivalence/test_zeliad_config_parsers.py,
parse_music_driver,zeliad,0x0443,48,lst,1,0,0,0,0,1,2,False,A,trivial_regression,no,release-byte-procedure-oracle,procedure/register-memory-flags,yes,3_Assembly/masm/functest/proc_equivalence/test_zeliad_config_parsers.py,
parse_joystick_name,zeliad,0x047C,23,lst,1,0,0,0,0,0,1,False,A,trivial_regression,no,release-byte-procedure-oracle,procedure/register-memory-flags,yes,3_Assembly/masm/functest/proc_equivalence/test_zeliad_config_parsers.py,
parse_joystick_enable,zeliad,0x0493,50,lst,1,0,0,0,0,1,2,False,A,trivial_regression,no,release-byte-procedure-oracle,procedure/register-memory-flags,yes,3_Assembly/masm/functest/proc_equivalence/test_zeliad_config_parsers.py,
find_colon_in_line,zeliad,0x04DA,21,lst,0,0,0,0,0,0,1,False,A,trivial_regression,no,release-byte-procedure-oracle,procedure/register-memory-flags,yes,3_Assembly/masm/functest/proc_equivalence/test_zeliad_config_parsers.py,
load_driver_file,zeliad,0x04EF,49,lst,6,1,0,3,0,0,0,False,D,driver_or_dos,no,release-byte-procedure-oracle,procedure/register-memory-service-order,yes,3_Assembly/masm/functest/proc_equivalence/test_zeliad_load_order.py,
display_file_error,zeliad,0x0520,90,lst,3,0,0,7,0,0,0,False,D,driver_or_dos,no,release-byte-procedure-oracle,procedure/register-memory-service-order,yes,3_Assembly/masm/functest/proc_equivalence/test_zeliad_load_order.py,
